id,name,is_enabled,weight
1,Не устроили условия,0,30
2,Приостановил,0,31
3,Бросил,0,32
4,Закончил успешно,0,33
5,Пауза,0,1
6,Каникулы,1,23
7,Хотят офлайн,0,24
8,Частая замена педагогов,1,25
9,Дорого,0,26
10,Неквалифицированный педагог,0,27
11,Не понравился педагог,0,28
12,Большая нагрузка в школе (не справляется),0,29
13,Другая причина,0,34
15,Пішли до конкурентів (знайшли іншого викладача),0,22
16,Нашли педагога офлайн по месту,0,21
18,Не має часу на навчання,0,20
19,Не повернувсяз паузи,0,19
20,Не повернувся з паузи,1,11
21,Дорого ( не тягне платити ),1,3
22,Дорого ( підвищення ціни ),1,4
23,Перейшли на оффлайн формат,1,5
24,Не досяг результату,1,6
25,Некваліфікований викладач,1,7
26,Досягнув результатів і більше не потребує навчання,1,8
27,Вирішив повернути кошти ( в коментах вказати причину ),1,9
28,Не достатньо часу на навчання,1,10
29,Вимкнення світла ( у клієнта ),1,2
30,Переїжджає ( тимчасово не може займатись ),1,12
31,Викладач не з'являється на уроки вчасно,1,13
32,Знайшли безкоштовні навчання,1,14
33,Старенька людина ( Не хоче займатись по причині свого віку ),1,15
34,Не влаштовує розмовний клуб,1,16
35,Дуже маленька дитина,1,17
36,Звикли до викладача і не хочуть заміну,1,18
37,ПАУЗА ( немає грошей ),1,0
38,ПАУЗА ( технічні проблеми ),1,0
39,ПАУЗА ( канікули  ),1,0
40,ПАУЗА (  відпочинок ),1,0
41,ПАУЗА ( по хворобі ),1,0
42,ПАУЗА ( усвоїти матеріал),1,0
43,ПАУЗА ( з приводу роботи (1-3 місяці)  ),1,0
44,ПАУЗА ( не виходить на зв'язок ),1,0
45,ПАУЗА ( особисті обставини ) не говорить причину,1,0
46,Пауза 2 тижні з грошима,1,0
47,Пауза 2 тижні без грошей,1,0
48,Пауза  1 місяць без грошей,1,0
49,Пауза 1 місяць з грошима,1,0
50,Пауза на 2 і більше місяці без грошей,1,0
51,Пауза на 2 і більше місяці з грошима,1,0
